,date,store,item,sales,ARIMA
0,2017-10-01,1,1,21,24.73086831458071
1,2017-10-02,1,1,12,23.47234016117702
2,2017-10-03,1,1,18,26.866318809337805
3,2017-10-04,1,1,15,28.0852746519528
4,2017-10-05,1,1,20,22.78569252220224
5,2017-10-06,1,1,19,25.044457610341162
6,2017-10-07,1,1,22,28.943823600266104
7,2017-10-08,1,1,19,25.124522542362918
8,2017-10-09,1,1,9,23.067836158859233
9,2017-10-10,1,1,23,27.462104112147934
10,2017-10-11,1,1,14,27.8013910675596
11,2017-10-12,1,1,24,23.103512956168732
12,2017-10-13,1,1,23,25.05110898833078
13,2017-10-14,1,1,26,28.6371857023351
14,2017-10-15,1,1,28,25.261250773004946
15,2017-10-16,1,1,19,23.16935404803268
16,2017-10-17,1,1,17,27.423660924960362
17,2017-10-18,1,1,15,27.59710538783157
18,2017-10-19,1,1,26,23.344488752470404
19,2017-10-20,1,1,22,25.062567455638938
20,2017-10-21,1,1,26,28.45107931563305
21,2017-10-22,1,1,32,25.298009325341702
22,2017-10-23,1,1,20,23.350304821830868
23,2017-10-24,1,1,23,27.30598594243527
24,2017-10-25,1,1,22,27.466230528198828
25,2017-10-26,1,1,28,23.526816735851607
26,2017-10-27,1,1,20,25.0998988303008
27,2017-10-28,1,1,22,28.266034018147202
28,2017-10-29,1,1,29,25.33457970812601
29,2017-10-30,1,1,22,23.521562919893885
30,2017-10-31,1,1,24,27.190791297812474
31,2017-11-01,1,1,16,27.351526542156893
32,2017-11-02,1,1,21,23.689042239575173
33,2017-11-03,1,1,18,25.14097171837929
34,2017-11-04,1,1,34,28.08961052427677
35,2017-11-05,1,1,23,25.371161696168024
36,2017-11-06,1,1,17,23.679064090005266
37,2017-11-07,1,1,23,27.084968058544284
38,2017-11-08,1,1,14,27.244439065733832
39,2017-11-09,1,1,21,23.83929395961094
40,2017-11-10,1,1,19,25.18007468986447
41,2017-11-11,1,1,24,27.925122332725962
42,2017-11-12,1,1,27,25.405254110898138
43,2017-11-13,1,1,22,23.82514838979685
44,2017-11-14,1,1,16,26.987316244581134
45,2017-11-15,1,1,19,27.14438249451573
46,2017-11-16,1,1,22,23.97884286662264
47,2017-11-17,1,1,25,25.216757938579107
48,2017-11-18,1,1,31,27.77229849567392
49,2017-11-19,1,1,32,25.436554952099726
50,2017-11-20,1,1,21,23.96101457632052
51,2017-11-21,1,1,29,26.896944194830425
52,2017-11-22,1,1,27,27.05106626990352
53,2017-11-23,1,1,25,24.108363049798704
54,2017-11-24,1,1,22,25.251196038372402
55,2017-11-25,1,1,29,27.63032353132025
56,2017-11-26,1,1,24,25.465256041872067
57,2017-11-27,1,1,10,24.087417475373815
58,2017-11-28,1,1,14,26.813270149173235
59,2017-11-29,1,1,28,26.964073806200904
60,2017-11-30,1,1,15,24.228546395132263
61,2017-12-01,1,1,19,25.283542283521662
62,2017-12-02,1,1,16,27.498416195301072
63,2017-12-03,1,1,31,25.49157449517513
64,2017-12-04,1,1,7,24.205013470923383
65,2017-12-05,1,1,20,26.735798094391036
66,2017-12-06,1,1,17,26.882980697458276
67,2017-12-07,1,1,18,24.340061723751063
68,2017-12-08,1,1,17,25.313923152924247
69,2017-12-09,1,1,27,27.375860791660813
70,2017-12-10,1,1,20,25.51570574291154
71,2017-12-11,1,1,20,24.31441376024798
72,2017-12-12,1,1,13,26.664070630395067
73,2017-12-13,1,1,17,26.807387816309337
74,2017-12-14,1,1,14,24.443533335054703
75,2017-12-15,1,1,16,25.342454678979024
76,2017-12-16,1,1,15,27.261994912255318
77,2017-12-17,1,1,22,25.5378276813115
78,2017-12-18,1,1,19,24.416188388885953
79,2017-12-19,1,1,7,26.597663335751065
80,2017-12-20,1,1,16,26.736923203920217
81,2017-12-21,1,1,12,24.53954064149266
82,2017-12-22,1,1,6,25.369246159102932
83,2017-12-23,1,1,18,27.156203253348476
84,2017-12-24,1,1,19,25.558103735186013
85,2017-12-25,1,1,13,24.5108680498844
86,2017-12-26,1,1,16,26.536182871190128
87,2017-12-27,1,1,14,26.671240097876694
88,2017-12-28,1,1,19,24.628621294934128
89,2017-12-29,1,1,15,25.39440074455877
90,2017-12-30,1,1,27,27.05791400856192
91,2017-12-31,1,1,23,25.5766842683307
92,2017-10-01,1,2,60,74.54118248611901
93,2017-10-02,1,2,56,53.84472545986616
94,2017-10-03,1,2,55,80.17792165514608
95,2017-10-04,1,2,55,79.52814341706453
96,2017-10-05,1,2,59,62.318331569365036
97,2017-10-06,1,2,54,68.9659743000556
98,2017-10-07,1,2,61,81.88944992884299
99,2017-10-08,1,2,60,73.02271891225627
