iter	RMSE
0	25.55082939
1	23.55693265
2	21.92701422
3	20.85560838
4	19.894858
5	18.91288378
6	18.19262116
7	17.65727489
8	16.40711822
9	15.31015999
10	14.53570084
11	14.06405421
12	13.61686777
13	13.21619379
14	12.89781794
15	12.4490891
16	12.2544547
17	12.01634417
18	11.68996455
19	11.50653835
20	10.974457
21	10.85591068
22	10.54937966
23	10.42090187
24	10.16358783
25	10.02005396
26	9.947423562
27	9.800259035
28	9.665448495
29	9.524844903
30	9.464424058
31	9.355057407
32	9.318883675
33	9.181793054
34	9.117094096
35	9.067823918
36	8.924168282
37	8.877285604
38	8.846716886
39	8.777754418
40	8.71136525
41	8.648379458
42	8.57854221
43	8.550910312
44	8.479724661
45	8.4506532
46	8.424326776
47	8.392503792
48	8.3282166
49	8.297405927
50	8.263782716
51	8.20881815
52	8.193788104
53	8.18195521
54	8.167921904
55	8.133843109
56	8.11138659
57	8.089740575
58	8.081549177
59	8.033902949
60	7.993523376
61	7.973794877
62	7.956931882
63	7.937932724
64	7.929088165
65	7.9159771
66	7.895899051
67	7.867008649
68	7.838162903
69	7.831578322
70	7.810150115
71	7.800291772
72	7.789766178
73	7.782614169
74	7.762613626
75	7.754494077
76	7.726558018
77	7.711201532
78	7.691476037
79	7.67994013
80	7.664310037
81	7.652308604
82	7.649255651
83	7.641596213
84	7.636521769
85	7.632680484
86	7.621197519
87	7.615881674
88	7.595964795
89	7.586740368
90	7.571553592
91	7.564218034
92	7.553803871
93	7.543185369
94	7.536614603
95	7.5336343
96	7.527799216
97	7.523487212
98	7.516748099
99	7.508511189
100	7.502754886
101	7.497820534
102	7.492206308
103	7.488216585
104	7.482875232
105	7.477611213
106	7.467387479
107	7.463818618
108	7.461038375
109	7.459761997
110	7.456274188
111	7.452934474
112	7.449773613
113	7.448190207
114	7.445696414
115	7.443149956
116	7.440721463
117	7.437652389
118	7.433538076
119	7.430030609
120	7.427991239
121	7.418871506
122	7.414752154
123	7.4124504
124	7.408037756
125	7.404337508
126	7.400036814
127	7.395399257
128	7.39266625
129	7.3911252
130	7.386039888
131	7.384344474
132	7.38249911
133	7.378745574
134	7.377547651
135	7.375538469
136	7.373617569
137	7.370789165
138	7.368873134
139	7.367556222
140	7.365818244
141	7.362625706
142	7.358544856
143	7.355261064
144	7.353529956
145	7.351846443
146	7.350705253
147	7.349833407
148	7.347948193
149	7.345590439
150	7.343991317
151	7.341941615
152	7.340955728
153	7.340120539
154	7.338873656
155	7.337145206
156	7.335381056
157	7.33407373
158	7.333159382
159	7.33172368
160	7.330413168
161	7.329605695
162	7.328883441
163	7.328265225
164	7.327050111
165	7.325207979
166	7.32437734
167	7.321825469
168	7.320678297
169	7.31932377
170	7.31798576
171	7.316893617
172	7.316391986
173	7.315447142
174	7.31444958
175	7.313657697
176	7.312933792
177	7.312155392
178	7.310558448
179	7.309893401
180	7.308689451
181	7.307251274
182	7.306569872
183	7.305889984
184	7.305079272
185	7.304533557
186	7.303752518
187	7.303154606
188	7.301561606
189	7.300711321
190	7.299954261
191	7.298862983
192	7.297408739
193	7.296724471
194	7.295745552
195	7.295345489
196	7.294614991
197	7.293637528
198	7.292715243
199	7.292133871
