iter	Passed	Remaining
0	297	59208
1	402	39860
2	507	33319
3	628	30796
4	760	29646
5	919	29733
6	1169	32241
7	1330	31928
8	1479	31397
9	1607	30533
10	1727	29689
11	1851	29000
12	1976	28432
13	2105	27974
14	2230	27510
15	2356	27098
16	2497	26890
17	2780	28110
18	2921	27829
19	3083	27751
20	3468	29566
21	3698	29923
22	3873	29806
23	4029	29552
24	4171	29203
25	4299	28771
26	4440	28454
27	4565	28046
28	4693	27677
29	4837	27411
30	4981	27159
31	5127	26918
32	5277	26708
33	5406	26398
34	5558	26205
35	5728	26094
36	5889	25943
37	6026	25692
38	6160	25433
39	6320	25281
40	6500	25210
41	6645	24999
42	6778	24747
43	6904	24480
44	7032	24222
45	7163	23982
46	7305	23781
47	7449	23589
48	7587	23382
49	7718	23156
50	7857	22957
51	7981	22716
52	8114	22506
53	8250	22307
54	8375	22080
55	8499	21855
56	8620	21625
57	8743	21407
58	8871	21202
59	9010	21025
60	9162	20877
61	9297	20693
62	9426	20499
63	9559	20313
64	9688	20122
65	9902	20104
66	10074	19998
67	10216	19832
68	10340	19632
69	10461	19428
70	10581	19226
71	10696	19016
72	10905	18972
73	11095	18892
74	11252	18753
75	11386	18577
76	11665	18634
77	11844	18526
78	11985	18357
79	12094	18142
80	12205	17931
81	12311	17716
82	12411	17496
83	12527	17299
84	12626	17082
85	12730	16875
86	12839	16676
87	12965	16500
88	13122	16365
89	13280	16231
90	13397	16047
91	13513	15864
92	13632	15684
93	13797	15558
94	13937	15404
95	14084	15257
96	14227	15107
97	14350	14936
98	14502	14795
99	14671	14671
100	14821	14528
101	14958	14371
102	15093	14214
103	15237	14065
104	15400	13933
105	15594	13829
106	15733	13675
107	15861	13511
108	15970	13332
109	16077	13154
110	16202	12991
111	16327	12828
112	16447	12662
113	16560	12493
114	16687	12333
115	16809	12172
116	16932	12011
117	17048	11847
118	17173	11689
119	17297	11531
120	17461	11400
121	17645	11281
122	17792	11138
123	17933	10991
124	18068	10841
125	18199	10688
126	18318	10529
127	18450	10378
128	18578	10225
129	18705	10072
130	18828	9917
131	18953	9763
132	19073	9608
133	19199	9456
134	19332	9308
135	19519	9185
136	19700	9059
137	19844	8915
138	19966	8762
139	20092	8610
140	20222	8461
141	20355	8314
142	20606	8213
143	20764	8074
144	21038	7980
145	21220	7848
146	21389	7711
147	21553	7572
148	21756	7446
149	21965	7321
150	22131	7181
151	22296	7040
152	22455	6897
153	22611	6754
154	22756	6606
155	22905	6460
156	23049	6313
157	23183	6162
158	23319	6013
159	23443	5860
160	23569	5709
161	23707	5560
162	23853	5414
163	24048	5278
164	24249	5143
165	24433	5004
166	24582	4857
167	24729	4710
168	24868	4561
169	25013	4414
170	25149	4265
171	25301	4118
172	25460	3973
173	25615	3827
174	25756	3679
175	25905	3532
176	26056	3385
177	26209	3239
178	26344	3090
179	26478	2942
180	26604	2792
181	26736	2644
182	26864	2495
183	26994	2347
184	27137	2200
185	27275	2052
186	27408	1905
187	27542	1758
188	27686	1611
189	27828	1464
190	27960	1317
191	28103	1170
192	28231	1023
193	28365	877
194	28491	730
195	28620	584
196	28768	438
197	28915	292
198	29052	145
199	29194	0
